epitope	gene	freq
NTD	IGHV1-18	0.04474708171206226
NTD	IGHV1-2	0.011673151750972763
NTD	IGHV1-24	0.09922178988326848
NTD	IGHV1-3	0.0019455252918287938
NTD	IGHV1-45	0.0019455252918287938
NTD	IGHV1-46	0.023346303501945526
NTD	IGHV1-58	0.0
NTD	IGHV1-69	0.058365758754863814
NTD	IGHV1-69-2	0.0038910505836575876
NTD	IGHV1-8	0.009727626459143969
NTD	IGHV2-26	0.013618677042801557
NTD	IGHV2-5	0.01556420233463035
NTD	IGHV2-70	0.019455252918287938
NTD	IGHV3-11	0.029182879377431907
NTD	IGHV3-13	0.0
NTD	IGHV3-15	0.019455252918287938
NTD	IGHV3-20	0.0
NTD	IGHV3-21	0.0622568093385214
NTD	IGHV3-23	0.06809338521400778
NTD	IGHV3-30	0.0933852140077821
NTD	IGHV3-30-3	0.04085603112840467
NTD	IGHV3-33	0.042801556420233464
NTD	IGHV3-4	0.0
NTD	IGHV3-43	0.0038910505836575876
NTD	IGHV3-48	0.033073929961089495
NTD	IGHV3-49	0.0019455252918287938
NTD	IGHV3-53	0.005836575875486381
NTD	IGHV3-6	0.005836575875486381
NTD	IGHV3-64	0.0
NTD	IGHV3-66	0.0038910505836575876
NTD	IGHV3-7	0.023346303501945526
NTD	IGHV3-72	0.0
NTD	IGHV3-73	0.0
NTD	IGHV3-74	0.0019455252918287938
NTD	IGHV3-9	0.023346303501945526
NTD	IGHV4-28	0.0
NTD	IGHV4-30-2	0.0
NTD	IGHV4-30-4	0.005836575875486381
NTD	IGHV4-31	0.01556420233463035
NTD	IGHV4-34	0.038910505836575876
NTD	IGHV4-38	0.0
NTD	IGHV4-38-2	0.0038910505836575876
NTD	IGHV4-39	0.054474708171206226
NTD	IGHV4-4	0.05058365758754864
NTD	IGHV4-59	0.023346303501945526
NTD	IGHV4-61	0.013618677042801557
NTD	IGHV4/OR15-	0.0
NTD	IGHV5-10-1	0.013618677042801557
NTD	IGHV5-51	0.011673151750972763
NTD	IGHV6-1	0.0019455252918287938
NTD	IGHV7-4-1	0.0038910505836575876
S2	IGHV1-18	0.014573991031390135
S2	IGHV1-2	0.021300448430493273
S2	IGHV1-24	0.002242152466367713
S2	IGHV1-3	0.007847533632286996
S2	IGHV1-45	0.0
S2	IGHV1-46	0.02914798206278027
S2	IGHV1-58	0.0
S2	IGHV1-69	0.1109865470852018
S2	IGHV1-69-2	0.002242152466367713
S2	IGHV1-8	0.004484304932735426
S2	IGHV2-26	0.002242152466367713
S2	IGHV2-5	0.021300448430493273
S2	IGHV2-70	0.005605381165919282
S2	IGHV3-11	0.013452914798206279
S2	IGHV3-13	0.0
S2	IGHV3-15	0.016816143497757848
S2	IGHV3-20	0.0011210762331838565
